country,continent,year,lifeExp,pop,gdpPercap
Canada,Americas,1997,78.61,30305843,28954.92589
Costa Rica,Americas,1997,77.26,3518107,6677.045314
United States,Americas,1997,76.81,272911760,35767.43303
Cuba,Americas,1997,76.151,10983007,5431.990415
Chile,Americas,1997,75.816,14599929,10118.05318
Puerto Rico,Americas,1997,74.917,3759430,16999.4333
Uruguay,Americas,1997,74.223,3262838,9230.240708
Panama,Americas,1997,73.738,2734531,7113.692252
Mexico,Americas,1997,73.67,95895146,9767.29753
Argentina,Americas,1997,73.275,36203463,10967.28195
Ecuador,Americas,1997,72.312,11911819,7429.455877
Jamaica,Americas,1997,72.262,2531311,7121.924704
Venezuela,Americas,1997,72.146,22374398,10165.49518
Colombia,Americas,1997,70.313,37657830,6117.361746
Dominican Republic,Americas,1997,69.957,7992357,3614.101285
El Salvador,Americas,1997,69.535,5783439,5154.825496
Trinidad and Tobago,Americas,1997,69.465,1138101,8792.573126
Paraguay,Americas,1997,69.4,5154123,4247.400261
Brazil,Americas,1997,69.388,168546719,7957.980824
Nicaragua,Americas,1997,68.426,4609572,2253.023004
Peru,Americas,1997,68.386,24748122,5838.347657
Honduras,Americas,1997,67.659,5867957,3160.454906
Guatemala,Americas,1997,66.322,9803875,4684.313807
Bolivia,Americas,1997,62.05,7693188,3326.143191
Haiti,Americas,1997,56.671,6913545,1341.726931
